id,type,question,options,answer,explanation
1,mcq,야구 경기에서 한 팀의 타자 선발 라인업은 몇 명일까요?,8명|9명|10명|11명,9명,지명타자 제도를 포함해도 타석에 서는 타자 라인업은 9명으로 구성됩니다.
2,mcq,KBO 리그에서 최다 우승 기록을 가진 팀은 어느 팀일까요?,삼성 라이온즈|두산 베어스|KIA 타이거즈|SSG 랜더스,KIA 타이거즈,KIA 타이거즈(전신 해태 타이거즈 포함)는 총 12번의 한국시리즈 우승을 차지했습니다.
3,ox,선발 투수가 4이닝 이상 던지고 리드 상황에서 마운드를 내려오면 승리 투수 요건을 갖춘다.,O|X,X,선발 투수는 최소 '5이닝'을 던지고 리드한 상태로 교체되어야 승리 투수 요건을 갖춥니다.
4,short,투수가 한 경기에 실점을 하나도 하지 않고 승리하는 것을 무엇이라 하나요?, ,완봉|완봉승,선발 투수가 9이닝 이상을 던지며 무실점으로 경기를 끝내고 승리하는 것을 의미합니다.
5,mcq,KBO 역대 최다 안타를 기록하고 있는 선수의 이름은 무엇일까요?,박용택|이승엽|손아섭|양준혁,손아섭,한화 이글스의 손아섭 선수가 박용택 선수의 기록을 넘어 역대 KBO 통산 안타 1위에 올랐습니다.(현재도 기록 경신중)
6,mcq,KBO의 출범 연도는 언제일까요?,1980년|1981년|1982년|1988년,1982년,한국 프로야구(KBO 리그)는 1982년에 6개 구단으로 정식 출범했습니다.
7,short,투수가 투구한 공을 포수의 실수로 놓쳐 주자의 진루를 허용한 경우를 무엇이라고 할까요?, ,포일,투수가 정상적으로 던진 공을 포수가 실수로 빠뜨린 경우 '포일'이라고 합니다.
8,mcq,한 경기에 일반적으로 투입되는 심판의 수는 몇 명일까요? (대기심 제외),3명|4명|5명|6명,4명,일반적인 정규 시즌 경기에서는 주심 1명과 누심 3명(1루·2루·3루)을 합쳐 총 4명의 심판이 투입됩니다.
9,ox,인필드 플라이는 주자가 없는 상황에서도 선언될 수 있다.,O|X,X,인필드 플라이는 무사 또는 1사에 주자가 1·2루나 만루일 때 수비수가 고의로 공을 떨어뜨려 병살을 유도하는 것을 막기 위해 선언됩니다.
10,mcq,KBO 역대 최다 탈삼진을 기록하고 있는 선수의 이름은 무엇일까요?,송진우|선동열|양현종|류현진,양현종,KIA 타이거즈의 양현종 선수가 송진우 선수의 기록을 넘어 역대 KBO 통산 최다 탈삼진 1위에 올랐습니다. (현재도 기록 경신중)
